id,user_id,title,message,read,created_at
1,1,Welcome,You are logged in to An-Najah National University.,false,"""2026-03-07T09:55:16.745Z"""
5,3,New login,A new sign-in to your Najah account was detected.,true,"""2026-03-09T14:35:16.983Z"""
4,3,Welcome to Najah platform,Your student account has been created successfully.,true,"""2026-03-09T14:34:39.901Z"""
6,3,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T14:35:54.745Z"""
7,3,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T14:36:36.138Z"""
8,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T18:57:17.904Z"""
9,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T19:01:50.062Z"""
10,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T19:05:06.671Z"""
11,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T19:37:08.002Z"""
12,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T19:49:07.634Z"""
13,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T20:31:25.358Z"""
14,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T20:42:04.476Z"""
15,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T20:44:08.254Z"""
16,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T20:45:05.902Z"""
18,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T20:46:25.062Z"""
19,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T20:46:53.095Z"""
20,6,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T20:47:12.870Z"""
23,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T21:03:31.889Z"""
28,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T22:08:27.661Z"""
29,6,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-09T22:09:09.060Z"""
31,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-09T22:26:36.369Z"""
32,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-09T22:26:41.113Z"""
30,4,New login,A new sign-in to your Najah account was detected.,true,"""2026-03-09T22:13:08.131Z"""
27,4,Event submitted for approval,"Your event ""test 222222"" has been submitted and is pending approval.",true,"""2026-03-09T21:48:47.524Z"""
22,4,New login,A new sign-in to your Najah account was detected.,true,"""2026-03-09T20:50:07.206Z"""
21,4,New login,A new sign-in to your Najah account was detected.,true,"""2026-03-09T20:48:14.694Z"""
17,4,New login,A new sign-in to your Najah account was detected.,true,"""2026-03-09T20:45:57.894Z"""
26,4,Event submitted for approval,"Your event ""testIEEE"" has been submitted and is pending approval.",true,"""2026-03-09T21:47:28.561Z"""
25,4,Event submitted for approval,"Your event ""testIEEE"" has been submitted and is pending approval.",true,"""2026-03-09T21:47:26.165Z"""
24,4,Event submitted for approval,"Your event ""test"" has been submitted and is pending approval.",true,"""2026-03-09T21:16:25.451Z"""
33,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-09T23:32:11.356Z"""
34,7,Welcome to Najah platform,Your student account has been created successfully.,false,"""2026-03-10T13:56:14.102Z"""
35,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T14:38:36.539Z"""
36,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-10T14:55:32.372Z"""
37,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:06:58.001Z"""
38,6,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-10T15:07:08.103Z"""
39,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:07:23.175Z"""
40,6,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:07:39.031Z"""
41,1,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-10T15:07:44.406Z"""
42,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:07:55.212Z"""
43,4,Event approved,Your event has been approved.,false,"""2026-03-10T15:08:00.913Z"""
44,7,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:08:56.238Z"""
45,4,New event registration (pending payment),"A new student requested to join your event ""test"". After they pay, you can approve.",false,"""2026-03-10T15:09:13.557Z"""
46,7,Registration pending payment,"Your request to join the event ""test"" is pending payment. After you pay, the community will approve your spot (first paid, first approved until event is full).",false,"""2026-03-10T15:09:13.629Z"""
47,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:11:03.459Z"""
48,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-10T15:16:20.154Z"""
49,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:16:40.477Z"""
50,4,Event rejected,Your event was rejected and returned to draft.,false,"""2026-03-10T15:16:55.675Z"""
51,7,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:17:17.989Z"""
52,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:19:09.044Z"""
53,7,Payment recorded,"Your payment for the event ""test"" has been recorded. The community will approve your spot (first paid, first approved until the event is full).",false,"""2026-03-10T15:27:18.290Z"""
54,7,Registration approved,"Your registration for the event ""test"" has been approved.",false,"""2026-03-10T15:27:24.580Z"""
55,7,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:28:26.253Z"""
56,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:41:55.359Z"""
57,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-10T15:42:43.739Z"""
58,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:44:09.803Z"""
59,4,Changes requested,Changes were requested for your event.,false,"""2026-03-10T15:45:03.271Z"""
60,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:45:13.200Z"""
61,6,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:45:36.634Z"""
62,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:45:59.430Z"""
63,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T15:46:15.668Z"""
64,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-10T21:34:47.243Z"""
65,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T21:36:10.428Z"""
66,4,Changes requested,Changes were requested for your event.,false,"""2026-03-10T21:36:26.122Z"""
67,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T21:36:50.959Z"""
68,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-10T21:40:11.031Z"""
69,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T21:40:44.248Z"""
70,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T21:40:56.284Z"""
71,6,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T21:42:17.156Z"""
72,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T21:44:00.604Z"""
73,4,Event rejected,Your event was rejected and returned to draft.,false,"""2026-03-10T21:44:54.316Z"""
74,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T21:45:14.991Z"""
75,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-10T22:01:01.924Z"""
76,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T22:01:20.276Z"""
77,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T22:13:10.634Z"""
78,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-10T22:13:30.396Z"""
